"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4415","TC03009 - User menggunakan fitur pencarian dengan dropdown","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","7801","TC06001 - User klik about us di navbar","","2026-03-08","passed","2026-03-08","","TC06 - About Page","",""
"","3470","TC02003 - Login gagal dengan email tidak terdaftar","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","19617","TC07008 - User logout account","","2026-03-08","passed","2026-03-08","","TC07 - Account Page Evershop","",""
"","92581","TC04005 - Checkout dengan mengisi semua field mandatory dengan teks panjang dan tidak valid (256 karakter)","","2026-03-08","failed","2026-03-08","","TC04 - Checkout dengan Login","",""
"","2935","TC01005 - Fitur Show Password","Page Object Model - Register Page","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","2359","TC02006 - Validasi muncul saat field kosong","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","4631","TC02013 - Reset password dengan email tidak terdaftar","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","13173","TC02005 - Login gagal dengan email mengandung angka dan simbol selain @ serta tanpa @","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","8039","TC02001 - Login berhasil dengan email huruf kecil","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","7183","TC03012 - User menggeser min price = max price","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","7327","TC03010 - User menggunakan filter price dengan menggeser nilai max","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","3923","TC03005 - User memilih warna produk pada halaman detail dan tambahkan ke cart","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","3629","TC02012 - Reset password dengan email tanpa @","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","17717","TC03003 - User menggunakan fitur sort produk berdasarkan default, price, dan name","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","1513","TC06002 - User klik icon evershop","","2026-03-08","passed","2026-03-08","","TC06 - About Page","",""
"","2634","TC02011 - Reset password dengan field email kosong","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","15700","TC03004 - Filter produk berdasarkan price range dan warna","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","3578","TC02004 - Login gagal dengan password salah","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","16203","TC03002 - Klik gambar produk dan verifikasi detail","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","6222","TC03013 - User menggeser max price = min price","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","75537","TC05005 - Checkout dengan mengisi semua field mandatory dengan teks panjang dan tidak valid (256 karakter)","","2026-03-08","failed","2026-03-08","","TC05 - Checkout tanpa Login","",""
"","3234","TC02008 - Klik Create an account mengarah ke halaman register","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","5980","TC02002 - Login berhasil dengan email huruf besar","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","5159","TC03006 - User menambahkan produk dengan jumlah yang valid","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","9495","TC02010 - Reset password berhasil dengan email terdaftar","TC02 - Login Page Evershop","2026-03-08","failed","2026-03-08","","TC02 - Login","",""
"","6223","TC03011 - User menggunakan filter price dengan menggeser nilai min","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","1472","TC01004 - User tidak mengisi data, semua field create account kosong","Page Object Model - Register Page","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","28034","TC03001 - Navigasi melalui slider, collections, dan kategori","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","4450","TC01001 - User membuat akun dengan data valid","Page Object Model - Register Page","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","2758","TC02007 - Password toggle berfungsi","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","10223","TC02014 - Tombol reset password disabled dan ada countdown","TC02 - Login Page Evershop","2026-03-08","failed","2026-03-08","","TC02 - Login","",""
"","7052","TC03007 - User menambahkan produk dengan jumlah dan warna tidak valid","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","5917","TC03008 - User menggunakan fitur pencarian dan menemukan produk","","2026-03-08","passed","2026-03-08","","TC03 - Product Page Evershop","",""
"","1680","TC01006 - User klik tulisan login disamping already have an account","Page Object Model - Register Page","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
"","26091","TC01002 - User membuat akun dengan email yang sudah terdaftar","Page Object Model - Register Page","2026-03-08","failed","2026-03-08","","TC02 - Login","",""
"","7962","TC01003 - User membuat akun dengan data yang tidak valid","Page Object Model - Register Page","2026-03-08","failed","2026-03-08","","TC02 - Login","",""
"","3092","TC02009 - Klik Forgot Password mengarah ke halaman reset","TC02 - Login Page Evershop","2026-03-08","passed","2026-03-08","","TC02 - Login","",""
